"ingredient","~% Alcohol","Sweet","Herbal","Sour",
"7Up",0,5,0,0,"seven_up"
"Club Soda",0,0,0,0,"club_soda"
"Coffee (hot)",0,0,0,0,"coffee"
"Coke",0,5,0,0,"coke"
"Cranberry Juice",0,5,0,1,"cranberry_juice"
"Cream",0,0,0,0,"cream"
"Fresh Lemon Juice",0,0,0,5,"fresh_lemon_juice"
"Fresh Lime Juice",0,1,0,5,"fresh_lime_juice"
"Gin",40,0,0,0,"gin"
"Ginger Ale",0,5,0,0,"ginger_ale"
"Grapefruit Juice",0,4,0,3,"grapefruit_juice"
"Grenadine",0,5,0,0,"grenadine"
"Half and Half",0,0,0,0,"half_and_half"
"Lime Juice (rose's)",0,4,0,3,"lime_juice"
"Orange Juice",0,5,0,3,"orange_juice"
"Peach Nectar",0,5,0,0,"peach_nectar"
"Pineapple Juice",0,5,0,3,"pineapple_juice"
"Rum",40,0,0,0,"rum"
"Scotch",40,0,0,0,"scotch"
"Simple Syrup",0,5,0,0,"simple_syrup"
"Tequila",40,0,0,0,"tequila"
"Tomato Juice",0,0,0,0,"tomato_juice"
"Tonic",0,5,0,0,"tonic"
"Vodka",40,0,0,0,"vodka"
